element_id,node_ids,ai_severity,primary_action,confidence
1073,"22005,21866,22037,1072",MEDIUM,Fix connectivity,0.95
1074,"23746,23452,23433,1635",LOW,Project to CAD,0.46134480228391483
1076,"23790,23796,1641,1636",LOW,Project to CAD,0.45903415961827965
1077,"22650,21926,1642,1643",LOW,Accept mesh,0.31
1078,"22219,1742,1630,20593",LOW,Accept mesh,0.28
1080,"1645,22650,1643,24106",LOW,Project to CAD,0.49039109906126127
1081,"22357,1632,1631,21943",LOW,Accept mesh,0.34
1083,"24111,1835,24107,1646",LOW,Project to CAD,0.4744163562397264
1085,"22330,20736,20740,24320",LOW,Fix connectivity,0.95
1087,"22594,22294,20804,20818",LOW,Project to CAD,0.47665796781161834
1093,"23763,1806,23761,1736",LOW,Project to CAD,0.4667775059190268
1094,"22357,1860,1859,1632",LOW,Accept mesh,0.32
1097,"23737,23738,23744,1744",LOW,Project to CAD,0.46926588933652086
1099,"20397,1638,22381,22504",LOW,Accept mesh,0.31
1100,"23796,1741,23809,1641",LOW,Project to CAD,0.4685157911999799
1101,"22485,1735,23854,22540",LOW,Project to CAD,0.47576984920098764
1102,"1884,23310,1742,22219",LOW,Project to CAD,0.4840676629922222
1103,"22174,23284,1164,20667",LOW,Project to CAD,0.5236597448517692
1105,"22360,1799,1798,21962",LOW,Accept mesh,0.28
1106,"22460,24324,20746,21142",LOW,Project to CAD,0.4863089894475101
1107,"23810,1800,1799,22360",LOW,Project to CAD,0.46146864303288637
1108,"23801,1801,1800,23810",LOW,Project to CAD,0.46365823619185065
1109,"1352,20690,20680,1699",LOW,Fix connectivity,0.95
1110,"23322,22153,22176,22499",HIGH,Reduce skew,0.6146187408822641
1112,"20586,1884,22219,22256",LOW,Project to CAD,0.4762679542622168
1114,"22193,22153,23322,1232",LOW,Accept mesh,0.27
1115,"22590,23253,20721,22170",LOW,Project to CAD,0.5065433712901308
1118,"23795,1802,1801,23801",LOW,Project to CAD,0.4626343229445751
1119,"23790,1803,1802,23795",LOW,Project to CAD,0.4621582095356216
1120,"23310,20616,1664,23314",LOW,Project to CAD,0.4987767883634413
1123,"1636,1804,1803,23790",LOW,Project to CAD,0.4616665476511928
1124,"1740,22185,22027,22125",MEDIUM,Fix connectivity,0.95
1125,"1804,1636,23784,1806",LOW,Project to CAD,0.4612969739809411
1129,"24064,24061,24070,1886",LOW,Project to CAD,0.47782678550457275
1131,"23317,20611,23321,1809",LOW,Project to CAD,0.4659220244633037
1133,"23452,1811,1810,20540",LOW,Accept mesh,0.27
1135,"1719,20889,1210,1731",LOW,Project to CAD,0.4896103318050168
1136,"1813,23447,1811,23738",LOW,Accept mesh,0.27
1140,"21868,22690,22691,21872",HIGH,Fix connectivity,0.95
